#	Contig Length	Number of Contigs in this Category
10400	1
8700	1
7900	1
7600	1
7200	1
6300	1
6200	1
5900	1
5400	2
5200	2
5100	1
5000	1
4800	2
4700	2
4500	3
4400	4
4300	3
4200	1
4100	1
4000	2
3900	4
3800	1
3600	4
3500	3
3400	4
3300	4
3200	4
3100	6
3000	4
2900	7
2800	8
2700	6
2600	5
2500	9
2400	8
2300	11
2200	3
2100	19
2000	10
1900	20
1800	17
1700	18
1600	13
1500	17
1400	25
1300	33
1200	27
1100	27
1000	24
900	33
800	39
700	38
600	38
500	55
400	82
300	96
200	167
100	240
0	62
assembly Length 1118570
Mean Contig 914.6116107931316
max Contig 10467
Number of Contigs 1223
Mean Depth 81.21345189334056
N50 1818
