#	Contig Length	Number of Contigs in this Category
10400	1
8700	1
7900	1
7600	1
7200	1
6300	1
6200	2
5900	1
5400	2
5200	2
5100	1
5000	1
4800	2
4700	2
4500	2
4400	4
4300	3
4200	1
4100	1
4000	2
3900	4
3800	1
3600	4
3500	2
3400	4
3300	4
3200	4
3100	6
3000	6
2900	7
2800	9
2700	6
2600	4
2500	12
2400	8
2300	11
2200	5
2100	20
2000	11
1900	22
1800	18
1700	15
1600	17
1500	18
1400	27
1300	35
1200	32
1100	30
1000	27
900	36
800	43
700	45
600	43
500	60
assembly Length 1030708
Mean Contig 1641.2547770700637
max Contig 10467
Number of Contigs 628
Mean Depth 51.89962972769529
N50 2013
